June,,Fajr,,,Dhuhr,,Asr,,,Maghrib,,Isha,
Date,Day,Begins,Iqamah,Sunrise,Begins,Iqamah,Standard,Hanafi,Iqamah,Begins,Iqamah,Begins,Iqamah
"June 1, 2025",Sunday,4:18 AM,5:00 AM,5:47 AM,1:06 PM,1:30 PM,6:12 PM,6:12 PM,6:20 PM,8:24 PM,8:24 PM,9:54 PM,10:10 PM
"June 2, 2025",Monday,4:17 AM,5:00 AM,5:47 AM,1:06 PM,1:30 PM,6:12 PM,6:12 PM,6:20 PM,8:25 PM,8:25 PM,9:55 PM,10:10 PM
"June 3, 2025",Tuesday,4:17 AM,5:00 AM,5:47 AM,1:06 PM,1:30 PM,6:13 PM,6:13 PM,6:20 PM,8:26 PM,8:26 PM,9:56 PM,10:10 PM
"June 4, 2025",Wednesday,4:16 AM,5:00 AM,5:47 AM,1:06 PM,1:30 PM,6:13 PM,6:13 PM,6:20 PM,8:26 PM,8:26 PM,9:57 PM,10:10 PM
"June 5, 2025",Thursday,4:16 AM,5:00 AM,5:46 AM,1:07 PM,1:30 PM,6:14 PM,6:14 PM,6:20 PM,8:27 PM,8:27 PM,9:57 PM,10:10 PM
"June 6, 2025",Friday,4:15 AM,5:00 AM,5:46 AM,1:07 PM,1:30 PM,6:14 PM,6:14 PM,6:20 PM,8:28 PM,8:28 PM,9:58 PM,10:10 PM
"June 7, 2025",Saturday,4:15 AM,5:00 AM,5:46 AM,1:07 PM,1:30 PM,6:14 PM,6:14 PM,6:20 PM,8:28 PM,8:28 PM,9:59 PM,10:10 PM
"June 8, 2025",Sunday,4:15 AM,5:00 AM,5:46 AM,1:07 PM,1:30 PM,6:15 PM,6:15 PM,6:20 PM,8:29 PM,8:29 PM,10:00 PM,10:10 PM
"June 9, 2025",Monday,4:15 AM,5:00 AM,5:46 AM,1:07 PM,1:30 PM,6:15 PM,6:15 PM,6:20 PM,8:29 PM,8:29 PM,10:00 PM,10:10 PM
"June 10, 2025",Tuesday,4:14 AM,5:00 AM,5:46 AM,1:07 PM,1:30 PM,6:15 PM,6:15 PM,6:20 PM,8:30 PM,8:30 PM,10:01 PM,10:10 PM
"June 11, 2025",Wednesday,4:14 AM,5:00 AM,5:45 AM,1:08 PM,1:30 PM,6:16 PM,6:16 PM,6:20 PM,8:30 PM,8:30 PM,10:01 PM,10:10 PM
